NODE_ID,ARS_ID,정류소명,위도,경도,정류소타입
102000152,03246,중앙하이츠빌라앞,37.5379738635,126.9598809227,일반차로
102000153,03247,용문시장,37.5363479221,126.9609679808,일반차로
102000154,03248,용문시장,37.5359792047,126.9613595571,일반차로
102000155,03249,용산전자상가입구,37.5345701678,126.9622225151,일반차로
102000156,03250,용산전자상가입구,37.5346611171,126.9619447091,일반차로
102000157,03251,신용산지하차도,37.5328348806,126.963668181,일반차로
102000158,03252,신용산지하차도,37.53259,126.963882,일반차로
102000159,03253,신용산역5번출구,37.5300338589,126.9676784797,일반차로
102000161,03255,용산역,37.5288666127,126.9658224646,일반차로
102000162,03256,용산푸르지오써밋,37.5275756153,126.96475962,일반차로
102000163,03257,용산푸르지오써밋,37.527230928,126.964578773,일반차로
102000164,03258,용산역광장앞,37.528333,126.965617,일반차로
102000165,03259,용산역사박물관.용산철도고등학교,37.5255972846,126.9660149714,일반차로
102000166,03260,용산역사박물관.용산철도고등학교,37.5253057707,126.9671194025,일반차로
102000167,03261,용산세무서,37.5237318415,126.9692440232,일반차로
102000168,03262,용산세무서,37.5236213922,126.970154424,일반차로
102000169,03263,이촌역,37.5226689183,126.9739086458,일반차로
102000170,03264,이촌역,37.5223634662,126.9740268751,일반차로
102000171,03265,국립중앙박물관.용산가족공원,37.5208980106,126.9786512102,일반차로
102000172,03266,국립중앙박물관.용산가족공원,37.5208754875,126.9799562027,일반차로
102000173,03267,서빙고역교차로,37.520427,126.9899,일반차로
102000174,03268,서빙고초등학교,37.5211711184,126.9908893645,일반차로
102000175,03269,한강중학교,37.5251140639,126.9913627138,일반차로
102000176,03270,서빙고동금호베스트빌,37.5226362582,126.9907181939,일반차로
102000178,03272,서빙고동,37.519851,126.992986,일반차로
102000179,03273,서빙고동주민센터,37.5203840049,126.9948813029,일반차로
102000180,03274,동빙고동,37.5208183604,126.996690677,일반차로
102000181,03275,동빙고동,37.5212625565,126.9970390394,일반차로
102000182,03276,보광신동아아파트.삼성리버빌아파트,37.5247380028,127.0020297105,일반차로
102000183,03277,보광동신동아아파트,37.5256237907,127.0015149467,일반차로
102000184,03278,보광동주민센터,37.5264591178,127.0005046107,일반차로
102000185,03279,보광동,37.528342,126.999026,일반차로
102000186,03280,보광동,37.528182014,126.998896846,일반차로
102000187,03281,한국폴리텍1대학,37.5301959868,126.9967926172,일반차로
102000188,03282,한국폴리텍1대학,37.5305293513,126.9965748167,일반차로
102000189,03283,이태원역.보광동입구,37.5334,126.994213,일반차로
102000190,03284,이태원역.보광동입구,37.5338224192,126.9942269972,일반차로
102000191,03285,한남역.용산노인종합복지관,37.5312239311,127.006795706,일반차로
102000192,03286,한남역.용산노인종합복지관,37.5306687947,127.007769858,일반차로
102000193,03287,이촌119안전센터.성촌공원,37.5300799765,126.9529474778,일반차로
102000194,03288,이촌로입구.성촌공원앞,37.5301710306,126.9546065451,일반차로
102000195,03289,이촌로입구.성촌공원앞,37.529747416,126.954351091,일반차로
102000196,03290,이촌2동주민센터,37.5277364382,126.9550639882,일반차로
102000197,03291,이촌2동주민센터,37.5277028919,126.9548605606,일반차로
102000198,03292,이촌2동대림아파트.새남터성지,37.5261753068,126.9563230524,일반차로
102000199,03293,이촌2동대림아파트.새남터성지,37.5260292706,126.9561658719,일반차로
102000200,03294,서부이촌동입구,37.5238640509,126.959495368,일반차로
102000201,03295,이촌2동강변아파트,37.5234462055,126.9597809746,일반차로
102000202,03296,원효2동산호아파트후문,37.5322600069,126.9500126665,일반차로
102000203,03297,청암동강변삼성아파트,37.5346144292,126.9482434807,일반차로
102000204,03298,청암동강변삼성아파트,37.534015,126.949323,일반차로
102000205,03299,원효2동산호아파트,37.5330177683,126.9505415559,일반차로
102000206,03300,원효2동산호아파트,37.5331088986,126.9508277689,일반차로
102000207,03301,원효로풍전아파트,37.5321286462,126.9535225314,일반차로
102000208,03302,원효로풍전아파트,37.5323687724,126.9545135613,일반차로
102000209,03303,원효풍전아파트,37.532742142,126.9559182022,일반차로
102000210,03304,원효2동주민센터,37.5344941039,126.9513961673,일반차로
102000211,03305,산천동리버힐삼성아파트,37.5345003443,126.9511923413,일반차로
102000212,03306,산천동.성심여중고후문,37.5353203855,126.9536425118,일반차로
102000213,03307,산천동.성심여중고후문,37.5354081306,126.9533822284,일반차로
102000214,03308,신창동세방아파트,37.5357083247,126.954957565,일반차로
102000215,03309,신창동세방아파트,37.5358300537,126.9549471079,일반차로
102000216,03310,남이장군사당,37.5366590687,126.9579937738,일반차로
102000217,03311,남이장군사당,37.5367544611,126.9575932164,일반차로
102000218,03312,용문시장.용문동새마을금고,37.5370716239,126.9595337638,일반차로
102000219,03313,용문시장.용문동새마을금고,37.5371492138,126.9591968331,일반차로
102000225,03319,순천향병원입구,37.5326305473,127.0067505734,일반차로
102000226,03320,남산서울타워,37.5510144684,126.9911947846,일반차로
102000227,03321,청심경로당,37.5338879189,126.9506907463,일반차로
102000228,03322,삼성테마트,37.5337466904,126.9503849242,일반차로
102000229,03323,서빙고동금호베스트빌,37.5226137862,126.9909910111,일반차로
102000230,03324,한남동하이페리온,37.5278439771,127.0055474264,일반차로
102000231,03325,서빙고역1번출구,37.5200345091,126.9894855098,일반차로
102000232,03326,문배동이안아파트앞,37.5388699959,126.971060418,일반차로
102000233,03327,갈월동.숙대입구역10번출구,37.5463858567,126.9716591639,일반차로
102000234,03328,삼각지역11번출구.전쟁기념관,37.536204,126.974548,일반차로
102000236,03330,숙대입구,37.5445305498,126.9705229419,일반차로
102000237,03331,원효대교북단,37.5321383559,126.9556102561,일반차로
102000238,03332,문배동이안아파트앞,37.5383644982,126.9707994501,일반차로
102000240,03334,순천향병원입구,37.532694511,127.0069961164,일반차로
102000241,03335,숙명여대입구,37.5448844577,126.9696434774,일반차로
102000243,03336,서빙고초등학교,37.5208412941,126.9906099662,일반차로
102000245,03338,한강대교스카이스위트,37.5213307725,126.9608161519,일반차로
102000246,03339,한강대교전망카페,37.5212359951,126.9613434997,일반차로
102000247,03340,노들섬,37.5175161768,126.9586051825,일반차로
102000248,03341,노들섬,37.5173638437,126.959037665,일반차로
102000249,03342,용암초등학교.이태원2동주민센터,37.544673,126.990733,일반차로
102000250,03343,용암초등학교.이태원2동주민센터,37.5448496669,126.9909320571,일반차로
102000266,03344,효창공원삼거리.윤봉길의사등묘역,37.5446070869,126.9638368968,일반차로
102000286,03345,서울역공항철도15번출구,37.5530779085,126.9688467509,일반차로
102000297,03346,용산꿈나무종합타운,37.538486933,126.9672402984,일반차로
102000316,03347,남산도서관.용산도서관,37.552343667,126.9818461928,일반차로
102900010,03500,하얏트호텔,37.5406603781,126.9969932623,마을버스
102900065,03501,한신아파트,37.5389827262,126.9866957386,마을버스
102900009,03502,순천향병원,37.5332487951,127.0048157354,마을버스
102900066,03503,용암경로당입구,37.540596615,126.9869183825,마을버스
102900083,03504,한남오거리,37.5330901125,127.0066566991,마을버스
102900079,03505,가야랑앞,37.5401952774,126.9936040739,마을버스
102900008,03506,용암한신아파트,37.5420771725,126.987435288,마을버스
102900070,03508,효창공원후문,37.5470688427,126.9608920893,마을버스
102900007,03509,디지텍고등학교앞,37.5398031767,126.9916260429,마을버스
102900006,03510,우리들가정의원,37.5432315144,126.9877949646,마을버스
102900097,03511,도원삼성래미안아파트101동앞,37.5390685906,126.9562320809,마을버스
102900080,03512,성도약국,37.5394506828,126.9895541036,마을버스
102900005,03513,남산교회입구,37.5446713415,126.9866471968,마을버스
102900003,03515,신애교회,37.5455190385,126.9584869002,마을버스
102900002,03516,시장,37.5389225472,126.9885515774,마을버스
102900001,03517,해방촌오거리,37.54572995,126.9851474983,마을버스
102900085,03518,보광동주민센터,37.5261473387,127.0000973012,마을버스
102900035,03519,대한노인회중앙회,37.5440368054,126.9576286965,마을버스
102900096,03520,도원삼성래미안아파트101동앞,37.5390222559,126.9562965631,마을버스
102900034,03521,신흥교회앞,37.5447457188,126.9833867831,마을버스
102900033,03522,군인아파트,37.526004062,126.9963176555,마을버스
102900032,03523,원효사.백범김구기념관,37.5431401733,126.9585663043,마을버스
102900064,03524,녹사평역,37.5350110363,126.9858713342,마을버스
102900031,03525,큰빛의집앞,37.5445481753,126.9819982464,마을버스
102900075,03526,몬드리안서울이태원,37.528596,126.992589,마을버스
102900098,03527,도원삼성래미안아파트,37.5396879497,126.9576859474,마을버스
102900063,03529,후암동종점,37.5467007949,126.9813662289,마을버스
102900076,03530,용산구청,37.530573,126.991477,마을버스
102900030,03532,용산고등학교,37.5461364014,126.9795092308,마을버스
102900077,03533,외빈차고,37.531832,126.992242,마을버스
102900029,03534,효창공원앞역.이봉창역사울림관,37.5396710223,126.9614323385,마을버스
102900078,03537,청화아파트,37.531157,126.995387,마을버스
102900027,03540,용산경찰서,37.5410233025,126.969805735,마을버스
102900026,03541,숙대역7번출구,37.5434757805,126.9722967638,마을버스
102900025,03542,보광동삼거리,37.530752,126.996811,마을버스
102900072,03543,중앙하이츠빌라,37.5385683269,126.9594786383,마을버스
102900024,03544,원효우체국,37.538967266,126.967353845,마을버스
102900023,03545,보광초등학교,37.531373,126.99673,마을버스
102900022,03546,용문동시장.새마을금고,37.5373482951,126.9596343248,마을버스
102900073,03550,용문동주민센터,37.5381473907,126.9591190202,마을버스
102900020,03551,문배어린이공원,37.5369383946,126.9697251251,마을버스
102900019,03552,문배어린이공원,37.5371431249,126.9695900372,마을버스
102900015,03561,신용산역,37.5299166547,126.9674544999,마을버스
102900012,03564,용산우체국,37.531376286,126.9703153999,마을버스
102900011,03565,숙대역5번출구,37.54403813,126.9725114972,마을버스
102900058,03567,삼각지역,37.5345065492,126.9732731006,마을버스
102900068,03568,갈월동,37.5463241118,126.9720930552,마을버스
102900057,03569,보광초등학교후문앞,37.533162,126.995635,마을버스
102900056,03571,동자경로당,37.5502867059,126.9741955461,마을버스
102900055,03572,이태원역앞,37.534339,126.9957,마을버스
102900054,03573,녹사평역.용산구청,37.5351395786,126.9871837649,마을버스
102900053,03574,후암시장,37.5500664789,126.9768043541,마을버스
